seder,masechet,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Zeraim,Berachot,5,8,6,7,5,8,5,8,5,,,,,,,,,,,,,,,,,,,,,
Zeraim,Peah,6,8,8,11,8,11,8,9,,,,,,,,,,,,,,,,,,,,,,
Zeraim,Demai,4,5,6,7,11,12,8,,,,,,,,,,,,,,,,,,,,,,,
Zeraim,Kilayim,9,11,7,9,8,9,8,6,10,,,,,,,,,,,,,,,,,,,,,
Zeraim,Sheviit,8,10,10,10,9,6,7,11,9,9,,,,,,,,,,,,,,,,,,,,
Zeraim,Terumot,10,6,9,13,9,6,7,12,7,12,10,,,,,,,,,,,,,,,,,,,
Zeraim,Maasrot,8,8,10,6,8,,,,,,,,,,,,,,,,,,,,,,,,,
Zeraim,Maaser Sheni,7,10,13,12,15,,,,,,,,,,,,,,,,,,,,,,,,,
Zeraim,Halla,9,8,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeraim,Orla,9,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeraim,Bikurim,11,11,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Moed,Shabbat,11,7,6,2,4,10,4,7,7,6,6,6,7,4,3,8,8,3,6,5,3,6,5,5,,,,,,
Moed,Eruvin,10,6,9,11,9,10,11,11,4,15,,,,,,,,,,,,,,,,,,,,
Moed,Pesahim,7,8,8,9,10,6,13,8,11,9,,,,,,,,,,,,,,,,,,,,
Moed,Shekalim,7,5,4,9,6,6,7,8,,,,,,,,,,,,,,,,,,,,,,
Moed,Yoma,8,7,11,6,7,8,5,9,,,,,,,,,,,,,,,,,,,,,,
Moed,Sukka,11,9,15,10,8,,,,,,,,,,,,,,,,,,,,,,,,,
Moed,Beitza,10,10,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,
Moed,Rosh Hashana,9,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Moed,Taanit,7,10,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Moed,Megilla,11,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Moed,Moed Katan,10,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moed,Hagiga,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashim,Yevamot,4,10,10,13,6,6,6,6,6,9,7,6,13,9,10,7,,,,,,,,,,,,,,
Nashim,Ketubot,10,10,9,12,9,7,10,8,9,6,6,4,11,,,,,,,,,,,,,,,,,
Nashim,Nedarim,4,5,11,8,6,10,9,7,10,8,12,,,,,,,,,,,,,,,,,,,
Nashim,Nazir,7,10,7,7,7,11,4,2,5,,,,,,,,,,,,,,,,,,,,,
Nashim,Sota,9,6,8,5,5,4,8,7,15,,,,,,,,,,,,,,,,,,,,,
Nashim,Gittin,6,7,8,9,9,7,9,10,10,,,,,,,,,,,,,,,,,,,,,
Nashim,Kidushin,10,10,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Nezikin,Bava Kamma,4,6,11,9,7,6,7,7,12,10,,,,,,,,,,,,,,,,,,,,
Nezikin,Bava Metzia,8,11,12,12,11,8,11,9,13,6,,,,,,,,,,,,,,,,,,,,
Nezikin,Bava Batra,6,14,8,9,11,8,4,8,10,8,,,,,,,,,,,,,,,,,,,,
Nezikin,Sanhedrin,6,5,8,5,5,6,11,7,6,6,6,,,,,,,,,,,,,,,,,,,
Nezikin,Makkot,10,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nezikin,Shevuot,7,5,11,13,5,7,8,6,,,,,,,,,,,,,,,,,,,,,,
Nezikin,Eduyot,14,10,12,12,7,3,9,7,,,,,,,,,,,,,,,,,,,,,,
Nezikin,Avoda Zara,9,7,10,12,12,,,,,,,,,,,,,,,,,,,,,,,,,
Nezikin,Avot,18,16,18,22,23,11,,,,,,,,,,,,,,,,,,,,,,,,
Nezikin,Horayot,5,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadashim,Zevahim,4,5,6,6,8,7,6,12,7,8,8,6,8,10,,,,,,,,,,,,,,,,
Kadashim,Menahot,4,5,7,5,9,7,6,7,9,9,9,5,11,,,,,,,,,,,,,,,,,
Kadashim,Hullin,7,10,7,7,5,7,6,6,8,4,2,5,,,,,,,,,,,,,,,,,,
Kadashim,Bechorot,7,9,4,10,6,12,7,10,8,,,,,,,,,,,,,,,,,,,,,
Kadashim,Arachin,4,6,5,4,6,5,5,7,8,,,,,,,,,,,,,,,,,,,,,
Kadashim,Temura,6,3,5,4,6,5,6,,,,,,,,,,,,,,,,,,,,,,,
Kadashim,Keritot,7,6,10,3,8,9,,,,,,,,,,,,,,,,,,,,,,,,
Kadashim,Meila,4,9,8,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,
Kadashim,Tamid,4,5,9,3,6,4,3,,,,,,,,,,,,,,,,,,,,,,,
Kadashim,Middot,9,6,8,7,4,,,,,,,,,,,,,,,,,,,,,,,,,
Kadashim,Kinnim,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taharot,Kelim,9,8,8,4,11,4,6,11,8,8,9,8,8,8,6,8,17,9,10,7,3,10,5,17,9,9,12,10,8,4
Taharot,Ohalot,8,7,7,3,7,7,6,6,16,7,9,8,6,7,10,5,5,10,,,,,,,,,,,,
Taharot,Negaim,6,5,8,11,5,8,5,10,3,10,12,7,12,13,,,,,,,,,,,,,,,,
Taharot,Para,4,5,11,4,9,5,12,11,9,6,9,11,,,,,,,,,,,,,,,,,,
Taharot,Taharot,9,8,8,13,9,10,9,9,9,8,,,,,,,,,,,,,,,,,,,,
Taharot,Mikvaot,8,10,4,5,6,11,7,5,7,8,,,,,,,,,,,,,,,,,,,,
Taharot,Nidda,7,7,7,7,9,14,5,4,11,8,,,,,,,,,,,,,,,,,,,,
Taharot,Machshirin,6,11,8,10,11,8,,,,,,,,,,,,,,,,,,,,,,,,
Taharot,Zavim,6,4,3,7,12,,,,,,,,,,,,,,,,,,,,,,,,,
Taharot,Tevul Yom,5,8,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
