Book	Parsha	Date	Portion	Title	First	Last	ID
Bereshit	Bereshit	14-Oct	Genesis 1:1 - 6:8	Rabbi	Alex	Israel	1030
Bereshit	Noah	21-Oct	Genesis 6:9 - 11:32	Rabbi	Alex	Israel	1030
Bereshit	Lech Lecha	28-Oct	Genesis 12:1 - 17:27	Rabbi	Alex	Israel	1030
Bereshit	Vayera	4-Nov	Genesis 18:1 - 22:24	Rabbi	Alex	Israel	1030
Bereshit	Haye Sarah	11-Nov	Genesis 23:1 - 25:18	Rabbi	Alex	Israel	1030
Bereshit	Toledot	18-Nov	Genesis 25:19 - 28:9	Rabbi	Gad	Dishi	1004
Bereshit	Vayetze	25-Nov	Genesis 28:10 - 32:3	Rabbi	Gad	Dishi	1004
Bereshit	Vayishlah	2-Dec	Genesis 32:4 - 36:43	Rabbi	Gad	Dishi	1004
Bereshit	Vayeshev	9-Dec	Genesis 37:1 - 40:23	Dr.	Avigail	Rock	
Bereshit	Miketz	16-Dec	Genesis 41:1 - 44:17	Dr.	Avigail	Rock	
Bereshit	Vayigash	23-Dec	Genesis 44:18 - 47:27	Dr.	Avigail	Rock	
Bereshit	Vayhi	30-Dec	Genesis 47:28 - 50:26	Dr.	Avigail	Rock	
Shemot	Shemot	6-Jan-18	Exodus 1:1 - 6:1	Dr.	Yael	Ziegler	
Shemot	Vaera	13-Jan	Exodus 6:2 - 9:35	Dr.	Yael	Ziegler	
Shemot	Bo	20-Jan	Exodus 10:1 - 13:16	Dr.	Yael	Ziegler	
Shemot	Beshalah	27-Jan	Exodus 13:17 - 17:16	Dr.	Yael	Ziegler	
Shemot	Yitro	3-Feb	Exodus 18:1 - 20:23	Rabbi	Yitzchak	Etshalom	1015
Shemot	Mishpatim	10-Feb	Exodus 21:1 - 24:18	Rabbi	Yitzchak	Etshalom	1015
Shemot	Teruma	17-Feb	Exodus 25:1 - 27:19	Rabbi	Yitzchak	Etshalom	1015
Shemot	Tetzave	24-Feb	Exodus 27:20 - 30:10	Rabbi	Yitzchak	Etshalom	1015
Shemot	Ki Tisa	3-Mar	Exodus 30:11 - 34:35	Rabbi	Yitzchak	Etshalom	1015
Shemot	Vayakhel	10-Mar	Exodus 35:1 - 38:20	Rabbi	Yitzchak	Etshalom	1015
Shemot	Pekude	10-Mar	Exodus 38:21 - 40:38	Rabbi	Yitzchak	Etshalom	1015
Vayikra	Vayikra	17-Mar	Leviticus 1:1 - 5:26	Mrs.	Shani	Taragin	1023
Vayikra	Tzav	24-Mar	Leviticus 6:1 - 8:36	Mrs.	Shani	Taragin	1023
Vayikra	Shemini	14-Apr	Leviticus 9:1 - 11:47	Mrs.	Shani	Taragin	1023
Vayikra	Tazria	21-Apr	Leviticus 12:1 - 13:59	Mrs.	Shani	Taragin	1023
Vayikra	Metzora	21-Apr	Leviticus 14:1 - 15:33	Mrs.	Shani	Taragin	1023
Vayikra	Aharei Mot	28-Apr	Leviticus 16:1 - 18:30	Mrs.	Shani	Taragin	1023
Vayikra	Kedoshim	28-Apr	Leviticus 19:1 - 20:27	Mrs.	Shani	Taragin	1023
Vayikra	Emor	5-May	Leviticus 21:1 - 24:23	Mrs.	Shani	Taragin	1023
Vayikra	Behar	12-May	Leviticus 25:1 -26:2	Mrs.	Shani	Taragin	1023
Vayikra	Behukotai	12-May	Leviticus 26:3 - 27:34	Mrs.	Shani	Taragin	1023
Bemidbar	Bemidbar	19-May	Numbers 1:1 - 4:20	Rabbi	Jonathan	Snowbell	
Bemidbar	Nasso	26-May	Numbers 4:21 - 7:89	Rabbi	Jonathan	Snowbell	
Bemidbar	Behaalotecha	2-Jun	Numbers 8:1 - 12:16	Rabbi	Jonathan	Snowbell	
Bemidbar	Shelah	9-Jun	Numbers 13:1 - 15:41	Rabbi	Jonathan	Snowbell	
Bemidbar	Korah	16-Jun	Numbers 16:1 - 18:32	Rabbi	Jonathan	Snowbell	
Bemidbar	Hukat	23-Jun	Numbers 19:1 - 22:1	Mrs.	Yosefa	Wruble	
Bemidbar	Balak	30-Jun	Numbers 22:2 - 25:9	Mrs.	Yosefa	Wruble	
Bemidbar	Pinehas	7-Jul	Numbers 25:10 - 30:1	Mrs.	Yosefa	Wruble	
Bemidbar	Matot	14-Jul	Numbers 30:2 - 32:42	Mrs.	Yosefa	Wruble	
Bemidbar	Masei	14-Jul	Numbers 33:1 - 36:13	Mrs.	Yosefa	Wruble	
Devarim	Devarim	21-Jul	Deuteronomy 1:1 - 3:22	Rabbi	Menachem	Leibtag	
Devarim	Vaethanan	28-Jul	Deuteronomy 3:23 - 7:11	Rabbi	Menachem	Leibtag	
Devarim	Ekev	4-Aug	Deuteronomy 7:12 - 11:25	Rabbi	Menachem	Leibtag	
Devarim	Re'e	11-Aug	Deuteronomy 11:26 - 16:17	Rabbi	Menachem	Leibtag	
Devarim	Shofetim	18-Aug	Deuteronomy 16:18 - 21:9	Rabbi	Menachem	Leibtag	
Devarim	Ki Tetze	25-Aug	Deuteronomy 21:10 - 25:19	Rabbi	Menachem	Leibtag	
Devarim	Ki Tavo	1-Sep	Deuteronomy 26:1 - 29:8	Rabbi	Menachem	Leibtag	
Devarim	Nitzavim	8-Sep	Deuteronomy 29:9 - 30:20	Rabbi	Menachem	Leibtag	
Devarim	Vayelech	15-Sep	Deuteronomy 31:1 - 31:30	Rabbi	Menachem	Leibtag	
Devarim	Haazinu	22-Sep	Deuteronomy 32:1 - 32:52	Rabbi	Menachem	Leibtag	
Devarim	Vezot Haberacha	2-Oct	Deuteronomy 33:1 - 34:12	Rabbi	Menachem	Leibtag	
