Sefer,Perek,Title,Teacher
Yehoshua,Introduction,,Mr. Jesse Salem
Yehoshua,1,,Mr. Jesse Salem
Yehoshua,2,,Mr. Jesse Salem
Yehoshua,3,,Mr. Jesse Salem
Yehoshua,4,,Mr. Jesse Salem
Yehoshua,5,,Mr. Jesse Salem
Yehoshua,6,,Mr. Jesse Salem
Yehoshua,7,,Mr. Jesse Salem
Yehoshua,8,,Mr. Jesse Salem
Yehoshua,9,,Mr. Jesse Salem
Yehoshua,10,,Mr. Jesse Salem
Yehoshua,11,,Mr. Jesse Salem
Yehoshua,12,,Mr. Jesse Salem
Yehoshua,13,,Mr. Jesse Salem
Yehoshua,14,,Mr. Jesse Salem
Yehoshua,15,,Mr. Jesse Salem
Yehoshua,16,,Mr. Jesse Salem
Yehoshua,17,,Mr. Jesse Salem
Yehoshua,18,,Mr. Jesse Salem
Yehoshua,19,,Mr. Jesse Salem
Yehoshua,20,,Mr. Jesse Salem
Yehoshua,21,,Mr. Jesse Salem
Yehoshua,22,,Mr. Jesse Salem
Yehoshua,23,,Mr. Jesse Salem
Yehoshua,24,,Mr. Jesse Salem
Shofetim,1,,Rabbi Joey M. Mizrachi
Shofetim,2,,Rabbi Joey M. Mizrachi
Shofetim,3,,Rabbi Joey M. Mizrachi
Shofetim,4,,Rabbi Joey M. Mizrachi
Shofetim,5,,Rabbi Joey M. Mizrachi
Shofetim,6,,Rabbi Joey M. Mizrachi
Shofetim,7,,Rabbi Joey M. Mizrachi
Shofetim,8,,Rabbi Joey M. Mizrachi
Shofetim,9,,Rabbi Joey M. Mizrachi
Shofetim,10,,Rabbi Joey M. Mizrachi
Shofetim,11,,Rabbi Joey M. Mizrachi
Shofetim,12,,Rabbi Joey M. Mizrachi
Shofetim,13,,Rabbi Joey M. Mizrachi
Shofetim,14,,Rabbi Joey M. Mizrachi
Shofetim,15,,Rabbi Joey M. Mizrachi
Shofetim,16,,Rabbi Joey M. Mizrachi
Shofetim,17,,Rabbi Joey M. Mizrachi
Shofetim,18,,Rabbi Joey M. Mizrachi
Shofetim,19,,Rabbi Joey M. Mizrachi
Shofetim,20,,Rabbi Joey M. Mizrachi
Shofetim,21,,Rabbi Joey M. Mizrachi
Shemuel1,Introduction,,Mrs. Marjorie Salem
Shemuel1,1,,Mrs. Marjorie Salem
Shemuel1,2,,Mrs. Marjorie Salem
Shemuel1,3,,Mrs. Marjorie Salem
Shemuel1,4,,Mrs. Marjorie Salem
Shemuel1,5,,Mrs. Marjorie Salem
Shemuel1,6,,Mrs. Marjorie Salem
Shemuel1,7,,Mrs. Marjorie Salem
Shemuel1,8,,Mrs. Marjorie Salem
Shemuel1,9,,Mrs. Marjorie Salem
Shemuel1,10,,Mrs. Marjorie Salem
Shemuel1,11,,Mrs. Marjorie Salem
Shemuel1,12,,Mrs. Marjorie Salem
Shemuel1,13,,Mrs. Marjorie Salem
Shemuel1,14,,Mrs. Marjorie Salem
Shemuel1,15,,Mrs. Marjorie Salem
Shemuel1,16,,Mrs. Marjorie Salem
Shemuel1,17,,Mrs. Marjorie Salem
Shemuel1,18,,Mrs. Marjorie Salem
Shemuel1,19,,Mrs. Marjorie Salem
Shemuel1,20,,Mrs. Marjorie Salem
Shemuel1,21,,Mrs. Marjorie Salem
Shemuel1,22,,Mrs. Marjorie Salem
