Sefer,Perek,Title,Teacher
Yehoshua,Intro,Intro to Yehoshua,Mr. Jesse Salem
Yehoshua,1,Be Strong & Courageous!,Mr. Jesse Salem
Yehoshua,2,Yehoshua’s Spy Mission,Mr. Jesse Salem
Yehoshua,3,Splitting of the River,Mr. Jesse Salem
Yehoshua,4,Eternal Monuments,Mr. Jesse Salem
Yehoshua,5,National Covenant; Encounter with God’s Chief of Staff,Mr. Jesse Salem
Yehoshua,6,The Battle of Yeriho,Mr. Jesse Salem
Yehoshua,7,The Failed Battle for Haai,Mr. Jesse Salem
Yehoshua,8,The Successful Ambush of Haai,Mr. Jesse Salem
Yehoshua,9,Givonim Deceit Bene Yisrael,Mr. Jesse Salem
Yehoshua,10,The Defeat of the Southern Coalition,Mr. Jesse Salem
Yehoshua,11,The Defeat of the Northern Coalition,Mr. Jesse Salem
Yehoshua,12,Summary of Wars; Battle Song,Mr. Jesse Salem
Yehoshua,13,"Division of Land: Reuven, Gad & 1/2 Menashe",Mr. Jesse Salem
Yehoshua,14,Caleb Ben Yefuneh Receives Hebron,Mr. Jesse Salem
Yehoshua,15,Yehudah’s Borders & Cities,Mr. Jesse Salem
Yehoshua,16,Efrayim’s Borders & Cities,Mr. Jesse Salem
Yehoshua,17,Menashe’s Borders & Cities,Mr. Jesse Salem
Yehoshua,18,Lottery & Division of Land; Binyamin,Mr. Jesse Salem
Yehoshua,19,"Shimon, Zevulun, Yissachar, Asher, Naftali & Dan’s Borders & Cities",Mr. Jesse Salem
Yehoshua,20,Cities of Refuge,Mr. Jesse Salem
Yehoshua,21,Levi’s 48 Cities & Fields,Mr. Jesse Salem
Yehoshua,22,"Reuven, Gad & 1/2 Menashe’s Farewell; A Near Civil War",Mr. Jesse Salem
Yehoshua,23,Yehoshua’s Parting Speech,Mr. Jesse Salem
Yehoshua,24,Yehoshua’s Historical Speech; Bene Yisrael’s Pledged Allegiance; Yehoshua’s Death,Mr. Jesse Salem
Shofetim,1,Success and Failure of Conquests ,Rabbi Joey M. Mizrachi
Shofetim,2,Rebuke and Retribution,Rabbi Joey M. Mizrachi
Shofetim,3,"1st Oppression, 2nd Oppression",Rabbi Joey M. Mizrachi
Shofetim,4,Cannanites Last Stand,Rabbi Joey M. Mizrachi
Shofetim,5,The Song of Deborah,Rabbi Joey M. Mizrachi
Shofetim,6,"Faith, Gid'on, Ba'al and Midian ",Rabbi Joey M. Mizrachi
Shofetim,7,Into the Valley of Death Rode 300,Rabbi Joey M. Mizrachi
Shofetim,8,Gid'on's End,Rabbi Joey M. Mizrachi
Shofetim,9,Abimelekh; Our 2st Stab at Monarchy ,Rabbi Joey M. Mizrachi
Shofetim,10,Sin and Consequences ,Rabbi Joey M. Mizrachi
Shofetim,11,Yiftah and His Oath ,Rabbi Joey M. Mizrachi
Shofetim,12,Yiftah and The Civil War ,Rabbi Joey M. Mizrachi
Shofetim,13,Shimshon Rising ,Rabbi Joey M. Mizrachi
Shofetim,14,Philistine Women and Dead Lions,Rabbi Joey M. Mizrachi
Shofetim,15,Shimshon an Army of One,Rabbi Joey M. Mizrachi
Shofetim,16,Shimshon Seduced and Betrayed,Rabbi Joey M. Mizrachi
Shofetim,17,Micha's Idol ,Rabbi Joey M. Mizrachi
Shofetim,18,The Idol and the Tribe of Dan ,Rabbi Joey M. Mizrachi
Shofetim,19,Lascivious Binyamin ,Rabbi Joey M. Mizrachi
Shofetim,20,Retribution for Misconduct ,Rabbi Joey M. Mizrachi
Shofetim,21,Binyamin Rebuilds,Rabbi Joey M. Mizrachi
Shemuel1,Intro,Sefer Shofetim as the Backdrop to Sefer Shemuel,Mrs. Marjorie Salem
Shemuel1,1,Parents of Shemuel,Mrs. Marjorie Salem
Shemuel1,2a,The Song of Hannah,Mrs. Marjorie Salem
Shemuel1,2b,Contrasting Shemuel to the Sons of Eli,Mrs. Marjorie Salem
Shemuel1,3,Word of God to Shemuel,Mrs. Marjorie Salem
Shemuel1,4,War with the Pelishtim and Its Aftermath,Mrs. Marjorie Salem
Shemuel1,5,The Aron Travels,Mrs. Marjorie Salem
Shemuel1,6,The Aron Returns,Mrs. Marjorie Salem
Shemuel1,7,Shemuel: Spiritual Reform and Military Success,Mrs. Marjorie Salem
Shemuel1,8,We Want a King! ,Mrs. Marjorie Salem
Shemuel1,9,"FINDINGS: Donkeys, Money, Women, The Navi and Kingship",Mrs. Marjorie Salem
Shemuel1,10,Long Live The King! Two Coronations,Mrs. Marjorie Salem
Shemuel1,11,We Have a King! Reversal of the Past,Mrs. Marjorie Salem
Shemuel1,12,Shemuel's Farewell Speech,Mrs. Marjorie Salem
Shemuel1,13,Preparation for Battle in Gilgal: King or Prophet?,Mrs. Marjorie Salem
Shemuel1,14,Battle Against the Pelishtim,Mrs. Marjorie Salem
Shemuel1,15,Amalek,Mrs. Marjorie Salem
Shemuel1,16,Anointing of David,Mrs. Marjorie Salem
Shemuel1,17,David and Goliath,Mrs. Marjorie Salem
Shemuel1,18,David Among Shaul's Family,Mrs. Marjorie Salem
Shemuel1,19,Is it Safe?,Mrs. Marjorie Salem
Shemuel1,20,David and Yehonatan,Mrs. Marjorie Salem
Shemuel1,21,David in Nov and Gat,Mrs. Marjorie Salem
Shemuel1,22,Nov the City of Priests,Mrs. Marjorie Salem
Shemuel1,23,David in Qe'ila and the Wilderness of Zif,Mrs. Marjorie Salem
Shemuel1,24,The Corner of a Robe: Shaul in the Hands of David Part I,Mrs. Marjorie Salem
Shemuel1,25,"David, Naval and AVIGAYIL",Mrs. Marjorie Salem
Shemuel1,26,A Spear and a Flask of Water: Shaul in the Hands of David Part II,Mrs. Marjorie Salem
Shemuel1,27,David in the Fields of the Pelishtim,Mrs. Marjorie Salem
Shemuel1,28,"Shemuel's Death, Shaul Looking for Answers",Mrs. Marjorie Salem
Shemuel1,29,Preparing for War with the Pelishtim,Mrs. Marjorie Salem
Shemuel1,30,David Fighting Amalek,Mrs. Marjorie Salem
Shemuel1,31,The War With the Pelishtim and The Death of Shaul and His Sons,Mrs. Marjorie Salem
Shemuel2,1,The Death of Shaul and The Lamentation of David,Mrs. Marjorie Salem
Shemuel2,2,Anointing of Two Kings,Mrs. Marjorie Salem
Shemuel2,3,Avner: Friend or Foe,Mrs. Marjorie Salem
Shemuel2,4,The Last Remnants of The House of Shaul,Mrs. Marjorie Salem
Shemuel2,5,United King of Israel and The Conquest of Jerusalem,Mrs. Marjorie Salem
Shemuel2,6,Ascent of The Aron to Jerusalem,Mrs. Marjorie Salem
Shemuel2,7,A House for G-d and A Dynasty for David,Mrs. Marjorie Salem
Shemuel2,8,Military Triumph,Mrs. Marjorie Salem
Shemuel2,9,Kindness,Mrs. Marjorie Salem
Shemuel2,10,Misdirected Kindness,Mrs. Marjorie Salem
Shemuel2,11,David and Batsheva,Mrs. Marjorie Salem
Shemuel2,12,Teshuvah,Mrs. Marjorie Salem
Shemuel2,13,Amnon and Tamar,Mrs. Marjorie Salem
Shemuel2,14,The Parable of The Wise Woman of Tekoa,Mrs. Marjorie Salem
Shemuel2,15,Rebellion: Save The City,Mrs. Marjorie Salem
Shemuel2,16,Two Scenes: David Outside and Avshalom Inside Jerusalem,Mrs. Marjorie Salem
Shemuel2,17,Advice,Mrs. Marjorie Salem
Shemuel2,18,The Death of Avshalom,Mrs. Marjorie Salem
Shemuel2,19,Grief and Recovery,Mrs. Marjorie Salem
Shemuel2,20,Another Rebellion?!,Mrs. Marjorie Salem
Shemuel2,21,"Famine, Givonim and Warriors",Mrs. Marjorie Salem
Shemuel2,22,The Song of David,Mrs. Marjorie Salem
Shemuel2,23,Words and Warriors,Mrs. Marjorie Salem
Shemuel2,24,The Census and the Plague,Mrs. Marjorie Salem
